prompt_id,output_prose_tokens,output_code_tokens
demo-018-48b2c8a5:p004,2157,344
demo-018-48b2c8a5:p005,2690,765
demo-018-48b2c8a5:p006,1503,442
demo-018-48b2c8a5:p007,978,1590
demo-018-48b2c8a5:p008,877,350
demo-018-48b2c8a5:p009,1002,1717
demo-019-158f03c8:p001,2265,365
demo-019-158f03c8:p002,1044,1637
demo-019-158f03c8:p003,599,1581
demo-020-0164b3ae:p001,1275,2754
demo-020-0164b3ae:p002,1818,232
demo-020-0164b3ae:p003,1817,834
demo-020-0164b3ae:p004,1690,403
demo-020-0164b3ae:p005,101,534
demo-020-0164b3ae:p006,455,879
demo-020-0164b3ae:p007,949,1487
demo-020-0164b3ae:p008,7460,3389
demo-020-0164b3ae:p009,967,713
demo-021-7ab39286:p001,3377,797
demo-021-7ab39286:p002,2835,2222
demo-021-7ab39286:p003,995,3251
demo-021-7ab39286:p004,1339,356
demo-021-7ab39286:p005,3223,1476
demo-021-7ab39286:p006,3082,2569
demo-021-7ab39286:p007,7114,1424
demo-021-7ab39286:p008,3440,3284
demo-021-7ab39286:p009,1918,2243
demo-021-7ab39286:p010,4721,1133
demo-021-7ab39286:p011,1736,640
demo-021-7ab39286:p012,677,523
demo-021-7ab39286:p013,684,3073
demo-021-7ab39286:p014,483,846
demo-021-7ab39286:p015,1904,1218
demo-021-7ab39286:p016,5414,412
demo-021-7ab39286:p017,1542,425
demo-021-7ab39286:p018,494,64
demo-021-7ab39286:p019,4739,1487
demo-021-7ab39286:p020,350,728
demo-021-7ab39286:p021,604,1419
demo-022-abccfffd:p001,278,1456
demo-022-abccfffd:p002,2229,1207
demo-022-abccfffd:p003,2328,581
demo-023-042116e8:p001,2436,5819
demo-023-042116e8:p002,583,2290
demo-023-042116e8:p003,2412,846
demo-023-042116e8:p004,3939,724
demo-023-042116e8:p005,1801,4216
demo-024-171600f1:p001,2611,636
demo-024-171600f1:p002,727,629
demo-024-171600f1:p003,3722,5889
demo-024-171600f1:p004,324,421
demo-024-171600f1:p005,1772,208
demo-024-171600f1:p006,3204,2863
demo-024-171600f1:p007,2956,1130
demo-024-171600f1:p008,1582,2826
demo-024-171600f1:p009,424,562
demo-024-171600f1:p010,1260,483
demo-024-171600f1:p011,1514,305
demo-024-171600f1:p012,125,432
demo-024-171600f1:p013,906,294
demo-024-171600f1:p014,2517,778
demo-024-171600f1:p015,4591,3203
demo-024-171600f1:p016,772,209
demo-024-171600f1:p017,1216,2664
demo-024-171600f1:p018,2333,898
demo-024-171600f1:p019,2275,5394
demo-024-171600f1:p020,517,2050
demo-024-171600f1:p021,2724,746
demo-024-171600f1:p022,1007,2438
demo-024-171600f1:p023,319,1164
demo-024-171600f1:p024,381,101
demo-024-171600f1:p025,2382,2893
demo-024-171600f1:p026,620,1255
demo-025-3ab52417:p001,2252,9706
demo-025-3ab52417:p002,4729,1812
demo-025-3ab52417:p003,2288,2370
demo-025-3ab52417:p004,2325,4196
demo-025-3ab52417:p005,7799,4315
demo-025-3ab52417:p006,645,1244
demo-025-3ab52417:p007,1424,623
demo-025-3ab52417:p008,3698,6432
demo-025-3ab52417:p009,1297,3929
demo-025-3ab52417:p010,2838,3228
demo-025-3ab52417:p011,749,44
demo-025-3ab52417:p012,203,275
demo-025-3ab52417:p013,419,1115
demo-025-3ab52417:p014,2111,1777
demo-025-3ab52417:p015,927,748
demo-025-3ab52417:p016,3610,3559
demo-025-3ab52417:p017,3224,399
demo-025-3ab52417:p018,701,335
demo-025-3ab52417:p019,2926,2291
demo-025-3ab52417:p020,3126,3705
demo-025-3ab52417:p021,1622,571
demo-025-3ab52417:p022,2849,553
demo-025-3ab52417:p023,1907,1015
demo-025-3ab52417:p024,4426,1154
demo-025-3ab52417:p025,1241,1099
demo-026-34fd07a5:p001,1637,3931
demo-026-34fd07a5:p002,3516,1315
demo-026-34fd07a5:p003,595,1316
demo-026-34fd07a5:p004,3239,422
demo-026-34fd07a5:p005,4417,1001
demo-026-34fd07a5:p006,2483,852
demo-026-34fd07a5:p007,1096,143
demo-026-34fd07a5:p008,1108,300
demo-026-34fd07a5:p009,1745,2059
demo-026-34fd07a5:p010,3795,3078
demo-026-34fd07a5:p011,964,2837
demo-026-34fd07a5:p012,1053,2286
demo-026-34fd07a5:p013,854,904
demo-026-34fd07a5:p014,1362,4746
demo-027-446dc987:p001,202,213
demo-027-446dc987:p002,1580,2577
demo-027-446dc987:p003,2458,814
demo-027-446dc987:p004,2927,5511
demo-027-446dc987:p005,1214,1637
demo-027-446dc987:p006,2320,1088
demo-027-446dc987:p007,2067,488
demo-027-446dc987:p008,3040,480
demo-027-446dc987:p009,940,188
demo-027-446dc987:p010,1396,236
demo-027-446dc987:p011,3744,1821
demo-027-446dc987:p012,1581,1890
demo-028-8b7d57ec:p001,464,1176
demo-028-8b7d57ec:p002,2189,1085
demo-028-8b7d57ec:p003,463,343
demo-028-8b7d57ec:p004,2179,2264
demo-028-8b7d57ec:p005,2492,1898
demo-028-8b7d57ec:p006,2995,938
demo-028-8b7d57ec:p007,1424,1560
demo-028-8b7d57ec:p008,2393,720
demo-028-8b7d57ec:p009,934,974
demo-028-8b7d57ec:p010,787,212
demo-029-150b4a07:p001,2146,952
demo-029-150b4a07:p002,2114,8030
demo-029-150b4a07:p003,1165,2589
demo-029-150b4a07:p004,1093,2457
demo-029-150b4a07:p005,2422,1181
demo-029-150b4a07:p006,1971,931
demo-029-150b4a07:p007,823,1142
demo-029-150b4a07:p008,2232,782
demo-030-bf94b5aa:p001,1364,273
demo-030-bf94b5aa:p002,5903,2530
demo-030-bf94b5aa:p003,743,1699
demo-030-bf94b5aa:p004,666,1794
demo-030-bf94b5aa:p005,263,1316
demo-030-bf94b5aa:p006,713,1239
demo-031-be91e92f:p001,2401,2624
demo-031-be91e92f:p002,1922,882
demo-031-be91e92f:p003,412,1088
demo-031-be91e92f:p004,3322,1280
demo-031-be91e92f:p005,1358,3133
demo-031-be91e92f:p006,2390,863
demo-031-be91e92f:p007,486,938
demo-031-be91e92f:p008,701,1250
demo-031-be91e92f:p009,1792,715
demo-031-be91e92f:p010,163,145
demo-032-6adee58a:p001,585,1206
demo-032-6adee58a:p002,1933,5490
demo-032-6adee58a:p003,1044,2379
demo-032-6adee58a:p004,1035,2056
demo-032-6adee58a:p005,3838,471
demo-032-6adee58a:p006,1567,4294
demo-033-f8aea77f:p001,4756,4366
demo-033-f8aea77f:p002,901,1086
demo-033-f8aea77f:p003,2508,732
demo-033-f8aea77f:p004,1363,724
demo-033-f8aea77f:p005,1358,2447
demo-033-f8aea77f:p006,3010,1027
demo-033-f8aea77f:p007,480,1372
demo-033-f8aea77f:p008,753,3416
demo-033-f8aea77f:p009,1204,429
demo-034-dc2d0ff1:p001,464,1301
demo-034-dc2d0ff1:p002,206,602
demo-034-dc2d0ff1:p003,2560,1164
demo-034-dc2d0ff1:p004,5639,4782
demo-034-dc2d0ff1:p005,4285,5682
demo-035-e71503f7:p001,394,243
demo-035-e71503f7:p002,453,183
demo-035-e71503f7:p003,4504,311
demo-035-e71503f7:p004,2291,1088
demo-035-e71503f7:p005,1146,478
demo-036-6d823204:p001,1845,1435
demo-036-6d823204:p002,3486,2389
demo-036-6d823204:p003,1243,1492
demo-036-6d823204:p004,928,4978
demo-036-6d823204:p005,4050,2063
demo-036-6d823204:p006,3644,1739
demo-036-6d823204:p007,4789,4677
demo-036-6d823204:p008,4619,5078
demo-036-6d823204:p009,404,223
demo-036-6d823204:p010,5475,1624
demo-036-6d823204:p011,2919,499
demo-036-6d823204:p012,2878,503
demo-036-6d823204:p013,3112,275
demo-036-6d823204:p014,3801,1269
demo-037-5fd147f9:p001,1179,6531
demo-037-5fd147f9:p002,266,245
demo-037-5fd147f9:p003,2475,378
demo-037-5fd147f9:p004,387,832
demo-037-5fd147f9:p005,2638,3756
demo-037-5fd147f9:p006,3741,1326
demo-037-5fd147f9:p007,568,2213
demo-037-5fd147f9:p008,616,2090
demo-037-5fd147f9:p009,1923,2798
demo-037-5fd147f9:p010,3570,485
demo-037-5fd147f9:p011,1519,533
demo-037-5fd147f9:p012,381,760
demo-037-5fd147f9:p013,299,879
demo-038-838e1ee4:p001,235,413
demo-038-838e1ee4:p002,4890,4630
demo-038-838e1ee4:p003,1434,2778
demo-039-9a1c44b7:p001,1460,547
demo-039-9a1c44b7:p002,596,246
demo-039-9a1c44b7:p003,1327,3805
demo-039-9a1c44b7:p004,1101,2443
demo-039-9a1c44b7:p005,274,544
demo-040-a17d2749:p001,1142,865
demo-040-a17d2749:p002,1367,4700
demo-040-a17d2749:p003,1104,1991
demo-041-5404f6ff:p001,5451,1922
demo-041-5404f6ff:p002,637,778
demo-041-5404f6ff:p003,1919,377
demo-041-5404f6ff:p004,1473,756
demo-041-5404f6ff:p005,3183,376
demo-041-5404f6ff:p006,764,1258
demo-041-5404f6ff:p007,2133,4565
demo-041-5404f6ff:p008,1543,2274
demo-041-5404f6ff:p009,1960,3187
demo-041-5404f6ff:p010,6428,2044
demo-041-5404f6ff:p011,2253,251
demo-041-5404f6ff:p012,574,953
demo-041-5404f6ff:p013,2658,4244
demo-041-5404f6ff:p014,1269,282
demo-041-5404f6ff:p015,1748,2511
demo-041-5404f6ff:p016,668,1192
demo-042-854ce295:p001,3559,1540
demo-042-854ce295:p002,1568,557
demo-042-854ce295:p003,3332,3040
demo-042-854ce295:p004,957,2930
demo-043-0defbc1a:p001,3085,1128
demo-043-0defbc1a:p002,2390,2066
demo-043-0defbc1a:p003,118,634
demo-043-0defbc1a:p004,2066,3198
demo-043-0defbc1a:p005,1903,4058
demo-043-0defbc1a:p006,502,139
demo-043-0defbc1a:p007,1910,3821
demo-043-0defbc1a:p008,2609,6241
demo-044-fcca5162:p001,1201,3530
demo-044-fcca5162:p002,2740,237
demo-044-fcca5162:p003,167,363
demo-045-66a1a317:p001,2766,1238
demo-045-66a1a317:p002,3455,409
demo-045-66a1a317:p003,1573,553
demo-045-66a1a317:p004,1112,623
demo-046-6994d0af:p001,771,854
demo-046-6994d0af:p002,2862,5528
demo-046-6994d0af:p003,1484,2466
demo-046-6994d0af:p004,1633,3041
demo-047-384829d9:p001,2450,989
demo-047-384829d9:p002,2731,1541
demo-047-384829d9:p003,361,998
demo-047-384829d9:p004,278,262
demo-047-384829d9:p005,1151,606
demo-047-384829d9:p006,878,1137
demo-047-384829d9:p007,930,2583
demo-047-384829d9:p008,1174,864
demo-047-384829d9:p009,2957,349
demo-047-384829d9:p010,1146,612
demo-047-384829d9:p011,1205,3878
demo-047-384829d9:p012,630,250
demo-047-384829d9:p013,1494,1220
demo-047-384829d9:p014,951,406
demo-047-384829d9:p015,287,1047
demo-047-384829d9:p016,1828,262
demo-047-384829d9:p017,569,2416
demo-047-384829d9:p018,1374,362
demo-047-384829d9:p019,2820,3091
demo-047-384829d9:p020,517,1202
demo-047-384829d9:p021,5273,880
demo-047-384829d9:p022,435,1075
demo-047-384829d9:p023,662,976
demo-047-384829d9:p024,1831,2103
demo-047-384829d9:p025,1124,103
demo-047-384829d9:p026,3209,904
demo-047-384829d9:p027,3060,1520
demo-047-384829d9:p028,3412,1261
demo-047-384829d9:p029,4742,4986
demo-047-384829d9:p030,485,149
demo-048-b3e19be6:p001,3526,2150
demo-048-b3e19be6:p002,1026,842
demo-048-b3e19be6:p003,3421,1534
demo-048-b3e19be6:p004,1528,282
demo-048-b3e19be6:p005,3523,405
demo-048-b3e19be6:p006,595,132
demo-048-b3e19be6:p007,1346,2319
demo-048-b3e19be6:p008,1806,3718
demo-048-b3e19be6:p009,2356,2157
demo-049-b2e88d4b:p001,474,138
demo-049-b2e88d4b:p002,750,286
demo-049-b2e88d4b:p003,2208,2003
demo-049-b2e88d4b:p004,875,3514
demo-049-b2e88d4b:p005,3940,1001
demo-049-b2e88d4b:p006,342,144
demo-050-58ef0b37:p001,1359,3784
demo-050-58ef0b37:p002,1246,450
demo-050-58ef0b37:p003,2119,7255
demo-051-ecba3aff:p001,961,2396
demo-051-ecba3aff:p002,369,1140
demo-051-ecba3aff:p003,2608,3916
demo-051-ecba3aff:p004,1449,383
demo-051-ecba3aff:p005,864,101
demo-051-ecba3aff:p006,4963,4435
demo-051-ecba3aff:p007,445,1275
demo-051-ecba3aff:p008,1654,2702
demo-051-ecba3aff:p009,213,323
demo-051-ecba3aff:p010,822,2287
demo-051-ecba3aff:p011,1059,496
demo-051-ecba3aff:p012,2135,3821
demo-051-ecba3aff:p013,1034,515
demo-051-ecba3aff:p014,2644,3689
demo-051-ecba3aff:p015,3760,3195
demo-051-ecba3aff:p016,621,79
demo-051-ecba3aff:p017,1327,1014
demo-051-ecba3aff:p018,289,419
demo-051-ecba3aff:p019,584,1174
demo-051-ecba3aff:p020,726,1475
demo-051-ecba3aff:p021,1259,3201
demo-051-ecba3aff:p022,286,511
demo-051-ecba3aff:p023,972,189
demo-051-ecba3aff:p024,1717,1973
demo-051-ecba3aff:p025,1240,1549
demo-051-ecba3aff:p026,1593,2422
demo-052-3ae50165:p001,528,505
demo-052-3ae50165:p002,741,1656
demo-052-3ae50165:p003,2106,1840
demo-052-3ae50165:p004,1962,4970
demo-052-3ae50165:p005,3698,199
demo-052-3ae50165:p006,728,350
demo-052-3ae50165:p007,685,113
demo-052-3ae50165:p008,459,148
demo-052-3ae50165:p009,5150,1966
demo-052-3ae50165:p010,472,680
demo-053-1e662cf7:p001,1062,1238
demo-053-1e662cf7:p002,2294,4419
demo-053-1e662cf7:p003,1136,138
demo-053-1e662cf7:p004,902,51
demo-053-1e662cf7:p005,363,2050
demo-053-1e662cf7:p006,2337,4379
demo-053-1e662cf7:p007,4148,1092
demo-053-1e662cf7:p008,5365,1864
demo-053-1e662cf7:p009,2518,2165
demo-053-1e662cf7:p010,172,282
demo-053-1e662cf7:p011,989,925
demo-053-1e662cf7:p012,552,1496
demo-054-64f3d835:p001,890,732
demo-054-64f3d835:p002,2657,5349
demo-054-64f3d835:p003,2617,508
demo-054-64f3d835:p004,1359,2633
demo-054-64f3d835:p005,805,640
demo-054-64f3d835:p006,3886,849
demo-055-7446d42d:p001,1627,1671
demo-055-7446d42d:p002,2243,895
demo-055-7446d42d:p003,2549,801
demo-055-7446d42d:p004,5005,1656
demo-055-7446d42d:p005,994,1527
demo-055-7446d42d:p006,2229,352
demo-056-50481bee:p001,4505,682
demo-056-50481bee:p002,1395,1873
demo-056-50481bee:p003,1519,530
demo-057-cba49dce:p001,777,357
demo-057-cba49dce:p002,1236,368
demo-057-cba49dce:p003,2045,4917
demo-057-cba49dce:p004,3834,802
demo-057-cba49dce:p005,824,1503
demo-058-72dc9829:p001,717,1947
demo-058-72dc9829:p002,2169,3653
demo-058-72dc9829:p003,408,1064
demo-058-72dc9829:p004,504,1056
demo-058-72dc9829:p005,875,200
demo-058-72dc9829:p006,1338,1440
demo-058-72dc9829:p007,472,150
demo-058-72dc9829:p008,2639,4043
demo-058-72dc9829:p009,2467,4675
demo-058-72dc9829:p010,2467,697
demo-058-72dc9829:p011,1494,372
demo-058-72dc9829:p012,1225,939
demo-058-72dc9829:p013,4412,903
demo-059-6ef2d936:p001,793,209
demo-059-6ef2d936:p002,2489,1027
demo-059-6ef2d936:p003,3098,901
demo-059-6ef2d936:p004,1289,2252
demo-059-6ef2d936:p005,1241,2663
demo-059-6ef2d936:p006,1338,571
demo-059-6ef2d936:p007,2214,4778
demo-059-6ef2d936:p008,722,187
demo-060-13bc9eb3:p001,1582,3393
demo-060-13bc9eb3:p002,1330,444
demo-060-13bc9eb3:p003,2299,3186
demo-060-13bc9eb3:p004,2402,5231
demo-060-13bc9eb3:p005,1241,553
demo-060-13bc9eb3:p006,1037,1508
demo-060-13bc9eb3:p007,897,99
demo-060-13bc9eb3:p008,1664,1395
demo-060-13bc9eb3:p009,966,232
demo-060-13bc9eb3:p010,5425,1523
demo-060-13bc9eb3:p011,1003,1600
demo-060-13bc9eb3:p012,3864,673
demo-060-13bc9eb3:p013,974,2810
demo-060-13bc9eb3:p014,2209,1014
demo-061-0677b40c:p001,3338,4727
demo-061-0677b40c:p002,4044,983
demo-061-0677b40c:p003,1515,480
demo-061-0677b40c:p004,4074,2913
demo-061-0677b40c:p005,870,2605
demo-062-1a26be3b:p001,260,67
demo-062-1a26be3b:p002,680,129
demo-062-1a26be3b:p003,2863,2355
demo-062-1a26be3b:p004,2383,680
demo-062-1a26be3b:p005,506,1847
demo-062-1a26be3b:p006,1515,5223
demo-062-1a26be3b:p007,2635,737
demo-062-1a26be3b:p008,4087,6966
demo-062-1a26be3b:p009,1432,3260
demo-062-1a26be3b:p010,980,506
demo-062-1a26be3b:p011,292,521
demo-062-1a26be3b:p012,1593,139
demo-062-1a26be3b:p013,2240,2087
demo-062-1a26be3b:p014,2566,1892
demo-063-2a07a210:p001,2869,3722
demo-064-9e8f5bad:p001,3646,2057
demo-064-9e8f5bad:p002,780,1895
demo-064-9e8f5bad:p003,3284,1490
demo-064-9e8f5bad:p004,1413,682
demo-064-9e8f5bad:p005,1984,5282
demo-064-9e8f5bad:p006,2049,285
demo-064-9e8f5bad:p007,1843,136
demo-064-9e8f5bad:p008,1046,654
demo-064-9e8f5bad:p009,5012,4699
demo-064-9e8f5bad:p010,2496,5029
demo-064-9e8f5bad:p011,330,958
demo-064-9e8f5bad:p012,3560,979
demo-065-b1174f4c:p001,2854,783
demo-065-b1174f4c:p002,3104,5506
demo-065-b1174f4c:p003,3296,1049
demo-065-b1174f4c:p004,1664,3292
demo-065-b1174f4c:p005,1607,425
demo-065-b1174f4c:p006,1816,2026
demo-066-48dadfab:p001,1333,267
demo-066-48dadfab:p002,2669,3026
demo-066-48dadfab:p003,1389,4527
demo-066-48dadfab:p004,4420,893
demo-066-48dadfab:p005,2535,3804
demo-066-48dadfab:p006,555,810
demo-066-48dadfab:p007,373,220
demo-066-48dadfab:p008,3457,6431
demo-066-48dadfab:p009,3584,4746
demo-066-48dadfab:p010,1683,734
demo-066-48dadfab:p011,2083,4862
demo-066-48dadfab:p012,2659,4821
demo-066-48dadfab:p013,710,3050
demo-067-2a53fc32:p001,1740,470
demo-067-2a53fc32:p002,1883,299
demo-067-2a53fc32:p003,2869,586
demo-067-2a53fc32:p004,1731,2450
demo-067-2a53fc32:p005,1930,6856
demo-068-8f78e097:p001,1110,1227
demo-068-8f78e097:p002,4745,1336
demo-068-8f78e097:p003,1168,593
demo-068-8f78e097:p004,757,1396
demo-068-8f78e097:p005,4073,3898
demo-068-8f78e097:p006,610,3425
demo-068-8f78e097:p007,3122,1001
demo-068-8f78e097:p008,948,2319
demo-068-8f78e097:p009,2844,259
demo-068-8f78e097:p010,778,1345
demo-068-8f78e097:p011,3210,1848
demo-068-8f78e097:p012,945,487
demo-068-8f78e097:p013,2068,5866
demo-068-8f78e097:p014,686,1300
demo-068-8f78e097:p015,650,1266
demo-068-8f78e097:p016,1332,583
demo-068-8f78e097:p017,646,2233
demo-068-8f78e097:p018,1358,4929
demo-069-9f65b230:p001,911,1908
demo-069-9f65b230:p002,721,73
demo-069-9f65b230:p003,1168,2358
demo-069-9f65b230:p004,3024,583
demo-069-9f65b230:p005,1612,774
demo-069-9f65b230:p006,544,2022
demo-069-9f65b230:p007,582,3236
demo-069-9f65b230:p008,6753,1088
demo-070-e2fb3299:p001,1147,64
demo-070-e2fb3299:p002,2675,528
demo-070-e2fb3299:p003,1150,4992
demo-070-e2fb3299:p004,3291,5795
demo-070-e2fb3299:p005,4549,930
demo-070-e2fb3299:p006,981,3207
demo-070-e2fb3299:p007,1606,2300
demo-070-e2fb3299:p008,762,1592
demo-070-e2fb3299:p009,1481,1569
demo-070-e2fb3299:p010,535,551
demo-070-e2fb3299:p011,2929,1464
demo-070-e2fb3299:p012,2017,1083
